Name,Region,Cases cumulative total,Cases cumulative total per 100000 population,Deaths cumulative total,Deaths cumulative total per 100000 population,Cases newly reported in last 7 days
Lebanon,Eastern Mediterranean,1238411,18144.033,10932,160.165,0
Costa Rica,Americas,1235156,24246.71,9384,184.212,772
Bolivia (Plurinational State of),Americas,1201597,10293.796,22387,191.784,1143
Tunisia,Eastern Mediterranean,1153361,9758.847,29423,248.955,0
Cuba,Americas,1114459,9839.294,8530,75.309,0
United Arab Emirates,Eastern Mediterranean,1067030,10788.54,2349,23.75,0
Ecuador,Americas,1062275,6020.925,36019,204.154,0
Panama,Americas,1042631,24164.248,8634,200.104,1302
Uruguay,Americas,1038774,29903.706,7634,219.764,0
Mongolia,Western Pacific,1010034,30809.782,2136,65.156,0
Nepal,South-East Asia,1003361,3443.62,12031,41.291,4
Belarus,Europe,994037,10519.666,7118,75.328,0
Latvia,Europe,978140,51273.933,6380,334.439,25
Saudi Arabia,Eastern Mediterranean,841469,2417.051,9646,27.707,0
Azerbaijan,Europe,831896,8204.77,10281,101.399,14
Paraguay,Americas,735759,10315.529,19961,279.858,0
Bahrain,Eastern Mediterranean,696614,40939.365,1536,90.269,0
Sri Lanka,South-East Asia,672528,3140.71,16877,78.816,8
Kuwait,Eastern Mediterranean,665967,15594.332,2570,60.179,12
Dominican Republic,Americas,661596,6098.834,4384,40.413,0
Cyprus,Europe,660854,74420.076,1364,153.603,0
Myanmar,South-East Asia,640092,1176.428,19494,35.828,300
Republic of Moldova,Europe,620685,15386.482,12124,300.548,0
Estonia,Europe,619190,46591.511,3001,225.813,58
Venezuela (Bolivarian Republic of),Americas,552695,1943.649,5856,20.594,0
Egypt,Eastern Mediterranean,516023,504.252,24830,24.264,0
Qatar,Eastern Mediterranean,514336,17852.362,690,23.95,74
Libya,Eastern Mediterranean,507264,7382.367,6437,93.68,0
Ethiopia,Africa,500920,435.721,7574,6.588,1
RÃ©union,Africa,494595,55242.753,921,102.869,0
Honduras,Americas,472619,4771.709,11116,112.231,0
Armenia,Europe,449222,15159.856,8750,295.285,0
Bosnia and Herzegovina,Europe,403041,12284.783,16350,498.352,0
Oman,Eastern Mediterranean,399449,7822.171,4628,90.627,0
North Macedonia,Europe,348276,16716.874,9677,464.486,0
Zambia,Africa,345961,1881.864,4060,22.084,903
Kenya,Africa,343537,638.885,5689,10.58,116
Albania,Europe,334090,11609.215,3604,125.235,0
Botswana,Africa,329985,14032.2,2797,118.939,0
Luxembourg,Europe,319959,51102.845,1232,196.771,0
Brunei Darussalam,Western Pacific,308777,70580.988,161,36.802,0
Mauritius,Africa,307818,24203.943,1052,82.719,0
Montenegro,Europe,291845,46467.546,2827,450.115,0
Kosovo[1],Europe,273908,15253.839,3209,178.708,2
Algeria,Africa,271847,619.933,6881,15.692,0
Nigeria,Africa,266675,129.366,3155,1.531,0
Zimbabwe,Africa,265413,1785.739,5707,38.398,124
Uzbekistan,Europe,253662,757.897,1637,4.891,0
Mozambique,Africa,233417,746.805,2243,7.176,0
Martinique,Americas,229975,61283.36,1102,293.659,0
Afghanistan,Eastern Mediterranean,222954,572.729,7922,20.35,199
Lao People's Democratic Republic,Western Pacific,218371,3001.432,671,9.223,31
Iceland,Europe,209191,57448.906,260,71.402,0
Kyrgyzstan,Europe,206897,3171.228,2991,45.845,0
Guadeloupe,Americas,202836,50693.285,1017,254.171,0
El Salvador,Americas,201785,3110.987,4230,65.215,0
Trinidad and Tobago,Americas,191496,13683.29,4390,313.686,0
Maldives,South-East Asia,186683,34536.134,316,58.46,0
Ghana,Africa,171653,552.42,1462,4.705,0
Namibia,Africa,171310,6742.086,4091,161.006,0
Uganda,Africa,170775,373.352,3632,7.94,0
Jamaica,Americas,155063,5236.55,3550,119.885,0
Cambodia,Western Pacific,138884,830.697,3056,18.279,31
Rwanda,Africa,133194,1028.349,1468,11.334,0
Cameroon,Africa,125084,471.2,1974,7.436,0
Malta,Europe,118858,23098.779,840,163.245,0
Barbados,Americas,107794,37509.874,593,206.351,0
Angola,Africa,105384,320.645,1934,5.884,0
French Guiana,Americas,98041,32824.542,413,138.274,0
Democratic Republic of the Congo,Africa,97409,108.762,1468,1.639,0
Senegal,Africa,89003,531.554,1971,11.771,4
Malawi,Africa,88703,463.686,2686,14.041,29
CÃ´te dâ€™Ivoire,Africa,88335,334.878,835,3.165,3
Suriname,Americas,82563,14074.07,1406,239.673,0
New Caledonia,Western Pacific,80064,28043.629,314,109.983,0
French Polynesia,Western Pacific,78600,27980.691,649,231.036,0
Eswatini,Africa,74882,6454.432,1427,123,0
Guyana,Americas,73313,9320.808,1298,165.024,48
Belize,Americas,70782,17801.06,688,173.026,0
Fiji,Western Pacific,69072,7705.102,885,98.723,43
Madagascar,Africa,68289,246.611,1425,5.146,0
Jersey,Europe,66391,61589.484,161,149.356,0
Sudan,Eastern Mediterranean,63993,145.939,5046,11.508,0
Cabo Verde,Africa,63985,11508.363,414,74.462,0
Mauritania,Africa,63710,1370.208,997,21.442,3
Bhutan,South-East Asia,62672,8122.259,21,2.722,0
Syrian Arab Republic,Eastern Mediterranean,57423,328.119,3163,18.074,0
Burundi,Africa,54036,454.436,15,0.126,0
Guam,Western Pacific,51549,30543.031,413,244.704,32
Seychelles,Africa,50937,51793.141,172,174.891,0
Gabon,Africa,48992,2201.162,307,13.793,0
Andorra,Europe,48015,62143.273,159,205.785,0
Papua New Guinea,Western Pacific,46864,523.794,670,7.489,0
CuraÃ§ao,Americas,45817,27921.362,302,184.042,0
Aruba,Americas,44200,41398.947,290,271.622,0
United Republic of Tanzania,Africa,43078,72.116,846,1.416,0
Mayotte,Africa,42027,15404.945,187,68.545,0
Togo,Africa,39503,477.163,290,3.503,0
Guinea,Africa,38563,293.639,468,3.564,0
Bahamas,Americas,38084,9684.572,844,214.625,0
Isle of Man,Europe,38008,44698.466,116,136.419,0
Guernsey,Europe,35326,54796.178,67,103.928,0
Faroe Islands,Europe,34658,70926.021,28,57.301,0
Lesotho,Africa,34490,1609.99,706,32.956,0
Haiti,Americas,34301,300.819,860,7.542,60
Mali,Africa,33151,163.702,743,3.669,1
Cayman Islands,Americas,31472,47888.01,37,56.299,0
Saint Lucia,Americas,30052,16365.785,409,222.734,0
Benin,Africa,28014,231.078,163,1.345,0
Somalia,Eastern Mediterranean,27334,171.985,1361,8.563,0
Micronesia (Federated States of),Western Pacific,26459,23003.225,65,56.51,0
United States Virgin Islands,Americas,25211,24142.686,131,125.449,29
Congo,Africa,25196,456.608,389,7.05,0
San Marino,Europe,24319,71657.139,125,368.319,5
Timor-Leste,South-East Asia,23457,1779.141,138,10.467,1
Burkina Faso,Africa,22056,105.515,396,1.894,0
Solomon Islands,Western Pacific,21611,3146.237,153,22.275,0
Liechtenstein,Europe,21471,55413.322,87,224.534,0
Gibraltar,Europe,20550,60995.518,113,335.401,0
Grenada,Americas,19693,17501.311,238,211.512,0
Bermuda,Americas,18860,30285.999,165,264.962,0
South Sudan,Africa,18368,164.092,138,1.233,0
Tajikistan,Europe,17786,186.482,125,1.311,0
Equatorial Guinea,Africa,17130,1220.968,183,13.044,0
Monaco,Europe,16826,42875.344,67,170.727,12
Tonga,Western Pacific,16817,15910.876,12,11.353,0
Samoa,Western Pacific,16743,8438.417,31,15.624,0
Marshall Islands,Western Pacific,16098,27195.324,17,28.719,0
Nicaragua,Americas,15774,238.114,245,3.698,22
Dominica,Americas,15760,21891.625,74,102.791,0
Djibouti,Eastern Mediterranean,15690,1588.057,189,19.13,0
Central African Republic,Africa,15367,318.173,113,2.34,0
Gambia,Africa,12626,522.455,372,15.393,0
Saint Martin,Americas,12303,31824.413,46,118.989,0
Vanuatu,Western Pacific,12019,3913.135,14,4.558,0
Greenland,Europe,11971,21086.099,21,36.99,0
Yemen,Eastern Mediterranean,11945,40.049,2159,7.239,0
Sint Maarten,Americas,11051,25770.72,92,214.542,0
Eritrea,Africa,10189,287.304,103,2.904,0
Bonaire,Americas,9864,47162.324,33,157.781,0
Saint Vincent and the Grenadines,Americas,9631,8681.269,124,111.772,0
Guinea-Bissau,Africa,9614,488.516,177,8.994,0
Niger,Africa,9513,39.299,315,1.301,0
Comoros,Africa,9109,1047.492,160,18.399,0
Antigua and Barbuda,Americas,9106,9298.573,146,149.088,0
American Samoa,Western Pacific,8332,15095.023,34,61.598,0
Liberia,Africa,8090,159.955,294,5.813,0
Sierra Leone,Africa,7762,97.305,125,1.567,0
Chad,Africa,7698,46.865,194,1.181,0
British Virgin Islands,Americas,7305,24159.143,64,211.661,0
Cook Islands,Western Pacific,7142,40662.719,2,11.387,3
Saint Kitts and Nevis,Americas,6606,12419.161,46,86.479,4
Turks and Caicos Islands,Americas,6588,17015.342,38,98.146,0
Sao Tome and Principe,Africa,6587,3005.58,80,36.503,0
Palau,Western Pacific,6011,33224.63,9,49.746,0
Saint BarthÃ©lemy,Americas,5494,55579.16,5,50.582,0
Nauru,Western Pacific,5393,49778.475,1,9.23,0
Kiribati,Western Pacific,5037,4216.862,24,20.092,0
Anguilla,Americas,3904,26023.197,12,79.989,0
Wallis and Futuna,Western Pacific,3550,31566.779,8,71.136,0
Saint Pierre and Miquelon,Americas,3426,59119.931,2,34.513,0
Tuvalu,Western Pacific,2911,24686.228,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0
Montserrat,Americas,1403,28065.613,8,160.032,0
Sint Eustatius,Americas,1220,38865.881,6,191.144,0
Saba,Americas,837,43300.569,2,103.466,0
Niue,Western Pacific,820,50679.852,0,0,0
Holy See,Europe,26,3213.844,0,0,0
Tokelau,Western Pacific,5,370.37,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0
Turkmenistan,Europe,0,0,0,0,0
